experiment,session_code,group_id,round,sent_amount,sent_back_amount,sent_reason,sent_back_reason,reason_sent_self_payoff,reason_sent_other_payoff,reason_sent_fairness,reason_sent_trust,reason_back_self_payoff,reason_back_other_payoff,reason_back_fairness,reason_back_trust
trust,2yeluy04,1,1,50,50,Sending 50 points balances the potential for reciprocity from Participant B and retains enough points to mitigate risk.,"Sending back the same amount ensures fairness and maintains a balance, as it will leave both participants with an equal number of points - 100 each.",7.0,6.0,8.0,7.0,5.0,5.0,10.0,8.0
trust,2yeluy04,1,2,50,50,"I decided to send 50 points as it worked out well in the previous round, where both participants ended up with an equal payoff of 100 points.","In the previous round, I returned 50 points to Participant A. This strategy maintains a balance and fairness, ensuring both participants end up with equal points.",7.0,7.0,8.0,6.0,5.0,5.0,10.0,7.0
trust,2yeluy04,1,3,50,50,"I continue to send 50 points as it has maintained equal payoffs in previous rounds, encouraging fair and cooperative behavior.","In previous rounds, 50 points were sent back, leading to a balanced outcome where both participants ended with 100 points each. Following this pattern ensures consistent and fair distribution once again.",5.0,6.0,10.0,8.0,7.0,7.0,9.0,8.0
trust,2yeluy04,1,4,50,50,"I continue to send 50 points as it has maintained equal payoffs in previous rounds, encouraging fair and cooperative behavior.","In previous rounds, Participant B consistently returned 50 points to keep the payoff even for both participants. I aim to maintain fairness and consistency.",6.0,6.0,10.0,8.0,5.0,6.0,10.0,7.0
trust,2yeluy04,1,5,50,50,"I continue to send 50 points as it has maintained equal payoffs in previous rounds, encouraging fair and cooperative behavior.","Returning 50 points aligns with previous rounds where maintaining fairness led to mutually beneficial outcomes, resulting in both participants earning equal amounts.",6.0,6.0,9.0,8.0,7.0,7.0,10.0,8.0
trust,2yeluy04,1,6,50,50,"In previous rounds, sending 50 points has resulted in Participant B returning 50 points, maintaining an equilibrium where both participants earn 100 points each round.",Maintaining the same exchange for fairness and equality as in the previous rounds.,8.0,7.0,9.0,9.0,3.0,3.0,9.0,7.0
trust,2yeluy04,1,7,50,50,"Based on previous rounds, sending 50 points has resulted in a consistent reciprocal return of 50 points, maintaining a balanced payoff for both participants.","To maintain fairness and a balanced strategy as practiced in previous rounds, where both participants end each round with equal points.",8.0,7.0,9.0,8.0,4.0,4.0,10.0,6.0
trust,2yeluy04,1,8,50,50,"In the previous rounds, sending 50 points consistently resulted in an equal reciprocation from Participant B, leading to both participants earning 100 points each round. Therefore, I will maintain this strategy.","Returning 50 points has resulted in equal and fair distribution of points in previous rounds (100 points each), maintaining trust and cooperation.",9.0,7.0,8.0,8.0,5.0,5.0,10.0,9.0
trust,2yeluy04,1,9,50,50,"Based on the consistent reciprocation of Participant B returning the same amount that was sent in previous rounds, I choose to send 50 points to maintain the trust and ensure both participants continue to earn 100 points each round.","In previous rounds, 50 points were consistently sent back to maintain fairness. Continuing this trend helps ensure both participants end with equal points.",7.0,6.0,8.0,10.0,3.0,4.0,9.0,7.0
trust,2yeluy04,1,10,50,50,"Given the consistent reciprocation of 50 points by Participant B in every round so far, I will continue with the pattern and send 50 points in round 10.","This has been the consistent strategy in previous rounds, ensuring both participants end with an equal number of points.",6.0,4.0,8.0,9.0,5.0,5.0,10.0,7.0
trust,2yeluy04,2,1,50,75,"I chose to send 50 points as it seems like a balanced strategy, leaving both participants with an incentive to cooperate and maximize their points.","I aim to maintain fairness and cooperation, sending back half of the tripled points (75 out of 150) as a gesture of reciprocity.",7.0,7.0,8.0,8.0,4.0,5.0,9.0,8.0
